campaign_id,cost_before,clicks_before,cost_after,clicks_after
id_0000,1894.37,72,7165.48,343
id_0001,629.21,36,2774.75,172
id_0002,41.89,3,177.84,14
id_0003,157.77,8,571.66,21
id_0004,31.45,3,179.03,15
id_0005,265.95,17,1839.34,112
id_0006,148.31,11,725.64,52
id_0007,192.02,11,2417.86,117
id_0008,150.56,12,1022.54,67
id_0009,204.18,4,412.4,24
id_0010,49.56,3,426.9,20
id_0011,508.3,18,2962.51,98
id_0012,4.55,1,42.67,5
id_0013,145.44,9,907.78,48
id_0014,244.78,11,1909.54,87
id_0015,232.76,12,1146.78,64
id_0016,34.74,4,161.27,11
id_0017,35.16,2,103.0,9
id_0018,15.18,3,59.94,11
id_0019,50.29,4,59.84,9
id_0020,29.92,2,301.08,10
id_0021,664.13,30,2637.21,113
id_0022,2492.27,57,6590.29,127
id_0023,253.03,7,2046.22,82
id_0024,4874.89,133,21865.58,509
id_0025,798.57,23,2157.88,69
id_0026,453.21,16,2975.48,91
id_0027,35.55,3,467.1,33
id_0028,113.3,8,369.16,30
id_0029,75.32,4,458.79,25
id_0030,33.23,5,525.44,57
id_0031,826.11,52,2463.74,158
id_0032,182.33,5,443.78,25
id_0033,852.58,56,5590.05,288
id_0034,32.64,2,1504.55,77
id_0035,286.04,16,2372.31,123
id_0036,258.15,21,949.67,82
id_0037,44.94,4,142.11,16
id_0038,169.27,18,626.52,57
id_0039,596.46,21,2959.89,67
id_0040,60.54,3,376.06,8
id_0041,4.38,1,28.84,3
id_0042,15.43,3,318.35,25
id_0043,30.56,2,110.39,6
id_0044,36.51,2,468.41,35
id_0045,55.85,1,47.32,6
id_0046,27.95,1,704.91,38
id_0047,63.37,1,507.64,21
id_0048,247.03,10,1921.65,68
id_0049,21.09,1,290.3,14
id_0050,315.4,12,2695.97,89
id_0051,495.02,41,2883.48,199
id_0052,123.84,13,805.92,97
id_0053,12.68,3,90.48,14
id_0054,18.45,1,156.46,5
id_0055,126.07,12,1337.07,72
id_0056,23.67,4,98.12,7
id_0057,18.24,2,27.51,3
id_0058,114.09,7,373.07,32
id_0059,572.23,38,4580.77,312
id_0060,588.62,59,4532.13,408
id_0061,6.37,1,2130.27,134
id_0062,43.3,6,2194.33,198
id_0063,32.24,5,2466.11,177
id_0064,1689.04,58,6372.24,295
id_0065,92.65,11,341.01,30
id_0066,10.28,1,13.43,4
id_0067,18.78,3,362.82,19
id_0068,5.93,1,158.02,3
id_0069,54.8,6,176.22,23
id_0070,247.77,12,931.95,58
id_0071,4403.2,247,26872.11,1212
id_0072,1269.73,79,7104.88,387
id_0073,114.24,13,1597.48,106
id_0074,839.81,45,5643.93,275
id_0075,753.03,45,3775.24,214
id_0076,533.52,18,1727.82,88
id_0077,2938.51,96,10018.38,329
id_0078,59.05,8,349.72,39
id_0079,1156.97,122,3422.71,357
id_0080,103.17,13,422.17,36
id_0081,14.41,1,82.64,1
id_0082,9.28,1,7.18,1
id_0083,50.98,7,330.51,35
id_0084,54.21,7,591.7,63
id_0085,42.29,4,215.5,25
id_0086,189.53,20,899.59,107
id_0087,260.4,30,658.46,85
id_0088,65.02,10,524.74,64
id_0089,51.69,5,251.21,25
id_0090,121.6,3,270.33,20
id_0091,1394.76,73,4362.91,233
id_0092,56.92,4,295.99,23
id_0093,131.81,5,53.71,7
id_0094,56.88,6,271.9,17
id_0095,238.64,16,238.43,14
id_0096,298.08,14,285.5,16
id_0097,1149.45,72,2903.34,220
id_0098,135.56,12,437.63,36
id_0099,68.67,5,224.61,15
id_0100,519.98,41,1010.97,82
id_0101,1080.04,54,4513.57,272
id_0102,137.71,7,317.55,22
id_0103,102.35,12,878.48,62
id_0104,6.96,2,1766.76,105
id_0105,3.46,1,192.92,11
id_0106,62.11,4,70.61,8
id_0107,233.87,12,1007.73,50
id_0108,5.05,1,53.99,6
id_0109,532.57,24,1914.54,100
id_0110,142.79,7,624.19,27
id_0111,247.0,14,448.13,30
id_0112,116.82,10,502.99,49
id_0113,8.63,1,118.66,9
id_0114,197.39,9,778.83,36
id_0115,640.85,36,1925.71,112
id_0116,1.54,1,14.77,2
id_0117,59.09,6,860.42,50
id_0118,17.94,1,84.65,6
id_0119,9.88,1,211.46,12
id_0120,130.45,4,59.71,7
id_0121,80.21,7,1813.11,94
id_0122,56.34,8,5329.49,296
id_0123,51.89,5,2772.96,192
id_0124,48.52,5,1508.43,98
id_0125,51.56,7,991.36,79
id_0126,6.55,2,593.53,61
id_0127,36.71,8,2470.37,200
id_0128,16.97,1,37.11,4
id_0129,426.37,14,849.06,49
id_0130,90.95,5,376.03,31
id_0131,88.35,7,390.14,40
id_0132,8.18,2,160.12,9
id_0133,174.9,23,433.18,65
id_0134,2611.63,433,3719.71,645
id_0135,453.0,121,650.51,187
id_0136,741.07,266,936.07,362
id_0137,309.2,90,885.29,229
id_0138,1334.51,373,3022.97,808
id_0139,634.04,47,3515.63,281
id_0140,561.72,17,3715.81,107
id_0141,7758.75,311,33889.63,1198
id_0142,1481.84,66,9867.61,392
id_0143,94.01,3,742.94,33
id_0144,304.1,19,1286.6,83
id_0145,448.55,17,1444.81,70
id_0146,191.01,21,1602.01,133
id_0147,856.19,207,1434.27,353
id_0148,794.49,251,1582.63,532
id_0149,1697.95,580,2313.65,863
id_0150,2700.44,634,3818.08,925
id_0151,160.93,62,239.54,98
id_0152,140.08,37,218.87,61
id_0153,406.93,96,425.15,107
id_0154,642.59,77,1168.45,146
id_0155,429.42,92,831.81,163
id_0156,516.82,65,542.34,80
id_0157,7.87,2,12.91,3
id_0158,181.14,47,246.26,71
id_0159,10.16,4,19.52,9
id_0160,2.61,1,4.51,3
id_0161,95.09,35,76.41,29
id_0162,77.14,13,207.4,35
id_0163,23.45,9,40.83,18
id_0164,145.17,43,307.5,90
id_0165,5.55,3,6.59,3
id_0166,83.34,23,140.28,35
id_0167,624.35,108,604.35,105
id_0168,8.63,4,10.58,4
id_0169,118.81,67,149.42,80
id_0170,41.11,19,39.26,21
id_0171,14.02,11,15.33,13
id_0172,111.16,50,86.58,46
id_0173,57.46,18,93.8,31
id_0174,457.86,128,589.95,182
id_0175,13.37,7,14.71,8
id_0176,156.9,73,274.86,113
id_0177,17.14,10,5.44,4
id_0178,457.98,204,437.44,193
id_0179,1301.95,113,2740.49,229
id_0180,453.75,58,1003.21,112
id_0181,604.49,88,603.97,95
id_0182,558.36,124,757.28,161
id_0183,428.6,182,461.62,207
id_0184,488.75,106,656.09,140
id_0185,629.78,171,789.32,227
id_0186,358.14,37,808.89,90
id_0187,472.17,66,1056.36,155
id_0188,448.95,148,556.13,182
id_0189,7.85,1,13.05,4
id_0190,465.22,121,329.43,93
id_0191,1141.93,101,2503.73,223
id_0192,978.92,133,1460.43,188
id_0193,707.03,115,890.15,146
id_0194,47.58,14,95.52,28
id_0195,44.09,14,35.09,13
id_0196,184.0,37,470.86,84
id_0197,419.86,98,745.42,175
id_0198,33.52,11,118.18,33
