ID,HEIGHT,WEIGHT
1627773_2016,84,260
201166_2016,72,161
203932_2016,81,220
1626151_2016,78,210
203940_2016,82,237
201143_2016,82,245
2744_2016,82,289
202329_2016,81,220
101187_2016,78,220
1626210_2016,80,260
202692_2016,78,214
203518_2016,78,190
203458_2016,85,260
1627816_2016,79,238
201582_2016,86,248
203459_2016,78,215
202087_2016,78,225
101161_2016,81,240
2760_2016,83,273
203083_2016,83,279
2738_2016,78,215
203460_2016,79,210
101106_2016,84,260
1626150_2016,78,213
203094_2016,81,250
203952_2016,80,199
203461_2016,80,235
1626148_2016,79,211
203076_2016,83,253
201627_2016,77,210
201229_2016,80,240
203462_2016,77,205
202620_2016,81,255
203382_2016,82,260
201167_2016,77,210
203085_2016,76,200
202340_2016,74,180
1626253_2016,79,210
1627791_2016,81,235
203463_2016,77,195
2757_2016,75,205
202687_2016,81,255
201933_2016,82,251
1626246_2016,87,290
201628_2016,74,175
1626171_2016,83,246
202711_2016,80,225
2564_2016,80,250
203078_2016,77,207
201148_2016,82,210
101138_2016,80,250
1627742_2016,81,190
201943_2016,73,170
202688_2016,75,195
201575_2016,78,225
203148_2016,73,173
1627362_2016,74,165
1627744_2016,82,230
201572_2016,84,268
203998_2016,81,205
1627854_2016,75,190
1627741_2016,76,214
201228_2016,74,175
203912_2016,77,195
203468_2016,75,190
101139_2016,78,225
1626166_2016,75,185
1627747_2016,79,203
2546_2016,80,240
202718_2016,82,230
101112_2016,83,255
1626184_2016,74,185
1627767_2016,81,220
1627778_2016,82,245
2365_2016,82,245
1626191_2016,81,215
101108_2016,72,175
1626174_2016,83,220
203991_2016,82,240
203469_2016,84,240
202332_2016,83,250
201147_2016,81,186
202709_2016,75,190
201584_2016,77,200
1626245_2016,81,266
1626156_2016,77,195
201571_2016,72,183
2563_2016,78,225
1627745_2016,84,245
203081_2016,75,195
204014_2016,82,228
1627849_2016,83,245
201568_2016,82,225
201980_2016,78,215
201967_2016,80,230
203957_2016,78,190
1627863_2016,79,215
203967_2016,82,223
201589_2016,81,235
201954_2016,72,175
1626199_2016,78,205
101135_2016,81,245
1628021_2016,76,209
2561_2016,81,250
202722_2016,82,210
201599_2016,83,265
202732_2016,78,209
1627761_2016,78,210
201942_2016,79,220
202326_2016,83,270
201960_2016,80,212
1627749_2016,77,170
1626153_2016,77,190
1627743_2016,73,201
203471_2016,73,172
1627756_2016,78,212
101114_2016,75,200
202324_2016,82,265
1627884_2016,79,190
201565_2016,75,190
202682_2016,80,240
1626164_2016,78,206
2734_2016,75,185
203473_2016,84,245
1627738_2016,82,240
1627754_2016,83,255
203079_2016,76,220
1717_2016,84,245
1627734_2016,83,240
202700_2016,84,222
1627827_2016,80,220
203926_2016,80,219
1627733_2016,85,225
203110_2016,79,230
2730_2016,83,265
203939_2016,83,240
2548_2016,76,220
202734_2016,76,191
202334_2016,82,245
204002_2016,87,265
203901_2016,76,185
202407_2016,79,215
1626144_2016,77,200
